"n","J","R","rep","AMSE_Random","AMSE_MaxTwin_plus","AMSE_WMaxTwin_plus","diff_Random_minus_MaxTwin_plus","diff_MaxTwin_plus_minus_WMaxTwin_plus","abs_signed_overlap"
60,5,8,1,0.095244694136731,0.0752630076094666,0.0712481405674816,0.0199816865272644,0.00401486704198491,0.0666666666666667
60,5,8,2,0.0771499572721039,0.0664723136835478,0.0571841835325335,0.0106776435885561,0.00928813015101432,0.2
60,5,8,3,0.13957955552638,0.0751253944632693,0.0591363060231095,0.0644541610631108,0.0159890884401598,0.0666666666666667
60,5,8,4,0.074327055725347,0.0631409374858446,0.0573529533741969,0.0111861182395024,0.00578798411164769,0.466666666666667
60,5,8,5,0.083686325551965,0.0790820903914835,0.0636097699556936,0.00460423516048154,0.0154723204357899,0.0666666666666667
60,5,8,6,0.0805544352395313,0.0675359657988528,0.0593368083792955,0.0130184694406785,0.00819915741955729,0.133333333333333
60,5,8,7,0.0598236324973713,0.0580473932666194,0.0540951371103715,0.00177623923075187,0.00395225615624785,0.133333333333333
60,5,8,8,0.0623969185559725,0.0535712730029632,0.0434480749754086,0.00882564555300931,0.0101231980275546,0.2
60,5,8,9,0.0797291210008954,0.0707033807123042,0.0666179991955021,0.00902574028859114,0.00408538151680213,0
60,5,8,10,0.0759696086007118,0.064529566209018,0.0541418336395154,0.0114400423916938,0.0103877325695026,0.0666666666666667
60,5,8,11,0.0771398623752557,0.0616120119604894,0.0581615903448119,0.0155278504147663,0.00345042161567747,0.133333333333333
60,5,8,12,0.106985287927075,0.082426922375276,0.0760997703416389,0.0245583655517995,0.00632715203363707,0.0666666666666667
60,5,8,13,0.0806803589808189,0.0476936454005057,0.0409115329718201,0.0329867135803131,0.00678211242868559,0.133333333333333
60,5,8,14,0.0846654360661481,0.0670071261324345,0.058887342982138,0.0176583099337136,0.00811978315029645,0.2
60,5,8,15,0.0893325401832462,0.0612345386046302,0.0497146729442601,0.028098001578616,0.0115198656603701,0.133333333333333
60,5,8,16,0.0741262982489133,0.0636911167950469,0.0558941324999234,0.0104351814538665,0.00779698429512345,0
60,5,8,17,0.10418500570591,0.0846083110146744,0.0685691270011343,0.0195766946912354,0.0160391840135401,0.2
60,5,8,18,0.129702012692173,0.0892907206060545,0.0776388671897137,0.0404112920861185,0.0116518534163407,0
60,5,8,19,0.0880355428009053,0.0723904851657324,0.069492205284832,0.0156450576351729,0.00289827988090037,0.133333333333333
60,5,8,20,0.133953379565723,0.114611698222922,0.0964688073151342,0.0193416813428003,0.0181428909077882,0.2
60,5,8,21,0.107585283932672,0.053534858370186,0.054948660280186,0.0540504255624857,-0.00141380190999998,0.133333333333333
60,5,8,22,0.112072760314524,0.0790947542700461,0.0780304055285679,0.032978006044478,0.00106434874147814,0.0666666666666667
60,5,8,23,0.0668869502310342,0.0635734322804761,0.060369351464435,0.00331351795055813,0.00320408081604104,0.266666666666667
60,5,8,24,0.0738579120059014,0.0404828235618065,0.03594603307821,0.0333750884440949,0.00453679048359653,0.266666666666667
60,5,8,25,0.09042788495865,0.0523955064941083,0.0424874684622424,0.0380323784645417,0.00990803803186592,0
60,5,8,26,0.132100597021565,0.0891920544648739,0.0850730846901633,0.0429085425566913,0.00411896977471062,0
60,5,8,27,0.0560555610083956,0.0517300909566301,0.038045794383635,0.00432547005176556,0.0136842965729951,0.133333333333333
60,5,8,28,0.0892735149492278,0.0525508057709327,0.0476604860101101,0.0367227091782951,0.00489031976082261,0.133333333333333
60,5,8,29,0.0564159337033769,0.0356061296530778,0.0347625303407557,0.0208098040502991,0.00084359931232212,0.0666666666666667
60,5,8,30,0.096062535507804,0.0525629845875288,0.0426423660881805,0.0434995509202752,0.00992061849934827,0
60,5,8,31,0.135390286282423,0.0978348988879875,0.0912001699325388,0.0375553873944351,0.00663472895544878,0.0666666666666667
60,5,8,32,0.048807747384209,0.0394863918008805,0.0299341310932487,0.00932135558332853,0.0095522607076318,0.133333333333333
60,5,8,33,0.0983592577503719,0.0991214562637036,0.0915706723360716,-0.000762198513331758,0.00755078392763203,0.2
60,5,8,34,0.0718883780179388,0.0442358392859916,0.0371314186142885,0.0276525387319472,0.00710442067170308,0.266666666666667
60,5,8,35,0.0810182228480355,0.0801421134343072,0.0652722469907293,0.000876109413728232,0.014869866443578,0.133333333333333
60,5,8,36,0.108599383545214,0.051598327797673,0.042242433945077,0.0570010557475411,0.009355893852596,0.266666666666667
60,5,8,37,0.0658753890304001,0.0512726084055029,0.0443318899822681,0.0146027806248973,0.00694071842323471,0.133333333333333
60,5,8,38,0.0689286685854767,0.0589592688178732,0.0521188575532263,0.00996939976760353,0.00684041126464691,0.266666666666667
60,5,8,39,0.0778579108579706,0.0425574056445873,0.0366585814252322,0.0353005052133833,0.00589882421935507,0.133333333333333
60,5,8,40,0.0906837021843309,0.0598515224104351,0.0545435881296256,0.0308321797738958,0.00530793428080949,0.133333333333333
60,5,8,41,0.106497548912028,0.0845700976851013,0.0856630246572082,0.0219274512269266,-0.00109292697210683,0.2
60,5,8,42,0.0917673512830865,0.0728251741542386,0.0688276878334581,0.0189421771288479,0.00399748632078048,0.0666666666666667
60,5,8,43,0.0625824746537375,0.0521730045422399,0.0409219753882684,0.0104094701114976,0.0112510291539715,0.0666666666666667
60,5,8,44,0.0786040692685794,0.049305846738951,0.0425708733386767,0.0292982225296284,0.00673497340027434,0.266666666666667
60,5,8,45,0.0512527407906146,0.0426904568226919,0.0389540548657541,0.00856228396792264,0.00373640195693785,0.133333333333333
60,5,8,46,0.0807364949512174,0.0511448537273534,0.0502964681107158,0.029591641223864,0.000848385616637637,0.133333333333333
60,5,8,47,0.0587441554400485,0.0422950800843016,0.0376091952092957,0.0164490753557469,0.00468588487500587,0.133333333333333
60,5,8,48,0.0924121342731448,0.0774301807175848,0.0670853201461038,0.01498195355556,0.010344860571481,0
60,5,8,49,0.0899790713912285,0.0606487585480924,0.0540796661147042,0.0293303128431361,0.00656909243338819,0.133333333333333
60,5,8,50,0.10542374372155,0.086758887653341,0.0733360340646741,0.018664856068209,0.0134228535886669,0.266666666666667
60,5,8,51,0.120956807199321,0.0964496685615236,0.0943525358651407,0.0245071386377971,0.00209713269638297,0.133333333333333
60,5,8,52,0.0941649394179538,0.0856297273151211,0.0827247521704799,0.0085352121028327,0.00290497514464114,0.266666666666667
60,5,8,53,0.0743171553981922,0.0555301075905558,0.0483966112327014,0.0187870478076364,0.0071334963578544,0.333333333333333
60,5,8,54,0.0843888345173001,0.0704948822127582,0.0626201395746361,0.013893952304542,0.0078747426381221,0.266666666666667
60,5,8,55,0.134620524562723,0.0558440099338154,0.0531013749429241,0.0787765146289074,0.00274263499089134,0.0666666666666667
60,5,8,56,0.0815899153558226,0.0499794453773825,0.0465016812221608,0.0316104699784401,0.00347776415522174,0.133333333333333
60,5,8,57,0.116435780956634,0.116989245394261,0.101308300617277,-0.000553464437626744,0.0156809447769836,0.0666666666666667
60,5,8,58,0.0793952567152288,0.056177130684982,0.0492447870785353,0.0232181260302468,0.00693234360644678,0.133333333333333
60,5,8,59,0.100503200377986,0.0843768048423765,0.0673621841434687,0.0161263955356093,0.0170146206989078,0
60,5,8,60,0.100166968991571,0.0549049334538114,0.0487157315853614,0.0452620355377593,0.00618920186845003,0.2
60,5,8,61,0.0650409703914497,0.0590085825840768,0.0543647263385429,0.00603238780737288,0.00464385624553391,0.0666666666666667
60,5,8,62,0.0783209576899648,0.0453304320872811,0.039570036991,0.0329905256026837,0.00576039509628101,0.133333333333333
60,5,8,63,0.0899824474060537,0.0508460857677998,0.0479128341177084,0.0391363616382538,0.00293325165009141,0.2
60,5,8,64,0.139815498717909,0.104062503776134,0.0827647565399143,0.0357529949417751,0.0212977472362198,0.133333333333333
60,5,8,65,0.0753782024029807,0.0398120246736857,0.0331575231150896,0.035566177729295,0.00665450155859611,0
60,5,8,66,0.0522413919284345,0.0384981885594528,0.0250882412897024,0.0137432033689817,0.0134099472697504,0.0666666666666667
60,5,8,67,0.0965832270905216,0.0766632146889752,0.0697292456969041,0.0199200124015464,0.00693396899207113,0.133333333333333
60,5,8,68,0.0802796858233131,0.0529285064853517,0.0508423904809116,0.0273511793379614,0.00208611600444007,0
60,5,8,69,0.0815751626181443,0.0774101629752454,0.0636176124721547,0.00416499964289893,0.0137925505030907,0.0666666666666667
60,5,8,70,0.143415976661951,0.117242821464897,0.100733569162424,0.0261731551970535,0.0165092523024729,0
60,5,8,71,0.0757828573858574,0.0503416758516722,0.0463738265512688,0.0254411815341852,0.00396784930040334,0.0666666666666667
60,5,8,72,0.0777050087072064,0.0710466365806788,0.0569829225376412,0.00665837212652763,0.0140637140430375,0.133333333333333
60,5,8,73,0.0734552590559676,0.0517558265829194,0.0401339607133934,0.0216994324730482,0.011621865869526,0.2
60,5,8,74,0.0776073836212646,0.0477044283532697,0.0418738854839671,0.0299029552679949,0.00583054286930254,0.0666666666666667
60,5,8,75,0.126074253383024,0.0895051946239061,0.0857827859969871,0.0365690587591175,0.00372240862691894,0.0666666666666667
60,5,8,76,0.0779510255431693,0.0515591941486356,0.0487557874834796,0.0263918313945337,0.00280340666515601,0
60,5,8,77,0.0808529430494765,0.0658755842753187,0.0625599854146943,0.0149773587741578,0.00331559886062448,0.2
60,5,8,78,0.108099426679931,0.0843911467549465,0.0733103302748983,0.0237082799249844,0.0110808164800482,0.0666666666666667
60,5,8,79,0.0735755846358617,0.0638639134464539,0.0587086676245143,0.00971167118940773,0.00515524582193959,0.266666666666667
60,5,8,80,0.0596660605536146,0.0418885638767827,0.0350454397688899,0.0177774966768319,0.00684312410789277,0.2
60,5,8,81,0.0998679559639311,0.0850437257109459,0.0810585548837743,0.0148242302529852,0.00398517082717162,0.133333333333333
60,5,8,82,0.137293376697139,0.0872957611665797,0.0807145825122115,0.0499976155305593,0.00658117865436819,0.2
60,5,8,83,0.0802524668308062,0.0731513581237026,0.068282609739303,0.00710110870710361,0.00486874838439964,0.0666666666666667
60,5,8,84,0.0766929538468301,0.0653550639307198,0.0577045944072484,0.0113378899161103,0.00765046952347141,0.133333333333333
60,5,8,85,0.109465651947698,0.0578507183090812,0.0512211399253554,0.0516149336386172,0.00662957838372578,0.2
60,5,8,86,0.0910321783199685,0.0519720604821381,0.0486314626751778,0.0390601178378304,0.00334059780696036,0.266666666666667
60,5,8,87,0.0906953198781057,0.0622666269386982,0.0527145967088734,0.0284286929394075,0.00955203022982479,0
60,5,8,88,0.0562048364541238,0.0347693111156365,0.0302221391506354,0.0214355253384873,0.00454717196500112,0.0666666666666667
60,5,8,89,0.0734188448085283,0.0573933337774873,0.0477794396251052,0.016025511031041,0.00961389415238213,0.0666666666666667
60,5,8,90,0.0957335230502298,0.0791929605589284,0.0709983023119442,0.0165405624913014,0.00819465824698423,0.133333333333333
60,5,8,91,0.0722283986579829,0.0433734394163536,0.0413602953695592,0.0288549592416293,0.00201314404679442,0
60,5,8,92,0.0871651551304177,0.0518755658037622,0.043244343522675,0.0352895893266555,0.00863122228108718,0
60,5,8,93,0.0879467276832112,0.0442615231107221,0.0390107450404558,0.0436852045724891,0.00525077807026625,0.133333333333333
60,5,8,94,0.0689372389474702,0.0516389398804265,0.0443317345545529,0.0172982990670437,0.0073072053258736,0.266666666666667
60,5,8,95,0.101303819437422,0.0950088430634802,0.0814264065039498,0.00629497637394223,0.0135824365595304,0.266666666666667
60,5,8,96,0.0948670218625091,0.077545112012284,0.0703140087460114,0.0173219098502251,0.00723110326627262,0.266666666666667
60,5,8,97,0.0657432221857531,0.0587365185152725,0.0371269514722339,0.00700670367048059,0.0216095670430386,0.133333333333333
60,5,8,98,0.0941817501795968,0.0918860543296791,0.0790279855145256,0.00229569584991771,0.0128580688151536,0.0666666666666667
60,5,8,99,0.13326856098886,0.0914020207365713,0.0866265539226389,0.0418665402522883,0.00477546681393236,0.0666666666666667
60,5,8,100,0.0879320012630792,0.0523459523277424,0.0349128164026365,0.0355860489353368,0.0174331359251059,0.2
60,5,8,101,0.11708732495788,0.0287342876812169,0.0215137932150159,0.0883530372766628,0.00722049446620092,0.266666666666667
60,5,8,102,0.0921141833429842,0.0801678214560017,0.0704839468715157,0.0119463618869825,0.00968387458448597,0.0666666666666667
60,5,8,103,0.0648183532966038,0.0584248783170745,0.0374101857768378,0.0063934749795293,0.0210146925402367,0.333333333333333
60,5,8,104,0.072364969602238,0.0468984041659366,0.0417640120221296,0.0254665654363014,0.00513439214380696,0
60,5,8,105,0.0919795219080719,0.0656711297430069,0.0560145533854376,0.026308392165065,0.00965657635756934,0.0666666666666667
60,5,8,106,0.0749419568232444,0.0466355882736687,0.0408493677157927,0.0283063685495756,0.00578622055787601,0.2
60,5,8,107,0.081808430141938,0.07891655058976,0.0737474526142649,0.00289187955217796,0.00516909797549514,0.2
60,5,8,108,0.0945473893464054,0.0657330906788292,0.0643249839357168,0.0288142986675762,0.00140810674311241,0.266666666666667
60,5,8,109,0.103617641832602,0.0801648145313462,0.0697284611158639,0.0234528273012557,0.0104363534154823,0
60,5,8,110,0.10271308253024,0.0872444279399911,0.0796261657519391,0.0154686545902491,0.00761826218805207,0.0666666666666667
60,5,8,111,0.12973992694644,0.0938769497955297,0.0916528768318407,0.0358629771509107,0.00222407296368897,0.266666666666667
60,5,8,112,0.105231436442774,0.0523039076817039,0.0498496234496479,0.0529275287610701,0.00245428423205601,0.0666666666666667
60,5,8,113,0.0871444397987025,0.066896887781239,0.0608748580981139,0.0202475520174635,0.00602202968312504,0.2
60,5,8,114,0.0806052608445859,0.0592033935658573,0.0513815504702833,0.0214018672787286,0.00782184309557395,0.133333333333333
60,5,8,115,0.126324713170718,0.0868433045942471,0.0802915960675516,0.0394814085764709,0.00655170852669547,0
60,5,8,116,0.0885226250228326,0.0527344363112396,0.0500100349001105,0.0357881887115931,0.0027244014111291,0.333333333333333
60,5,8,117,0.137615204028591,0.0822088988875988,0.0803294514801168,0.0554063051409925,0.001879447407482,0.0666666666666667
60,5,8,118,0.0733158284165885,0.0486269404754252,0.0454031474493635,0.0246888879411634,0.00322379302606168,0
60,5,8,119,0.113685387156958,0.0980937674310955,0.0906267073264723,0.0155916197258624,0.00746706010462315,0.0666666666666667
60,5,8,120,0.065100131003426,0.0553295179645869,0.0431426682139346,0.00977061303883917,0.0121868497506523,0.266666666666667
60,5,8,121,0.0425531112659504,0.0296697465197201,0.022533511330762,0.0128833647462302,0.00713623518895808,0.0666666666666667
60,5,8,122,0.118618964544503,0.0693838317160227,0.0526646078059135,0.0492351328284799,0.0167192239101092,0.0666666666666667
60,5,8,123,0.0572051921300943,0.0475215462814834,0.0398570090316818,0.00968364584861086,0.0076645372498016,0.133333333333333
60,5,8,124,0.0724363749934713,0.068297100882087,0.0645877999516265,0.0041392741113843,0.00370930093046044,0
60,5,8,125,0.0867670508218702,0.0838477391663121,0.0731674177399199,0.00291931165555812,0.0106803214263922,0
60,5,8,126,0.082187118748568,0.0587265568757346,0.0528722703904827,0.0234605618728334,0.00585428648525196,0.133333333333333
60,5,8,127,0.0760399626428295,0.0617125355301861,0.0567734365794949,0.0143274271126433,0.00493909895069122,0
60,5,8,128,0.095303250341694,0.0782519838344985,0.0713664688409435,0.0170512665071955,0.00688551499355503,0.133333333333333
60,5,8,129,0.0664417966040059,0.0408671990036019,0.0377356565281606,0.025574597600404,0.00313154247544137,0.2
60,5,8,130,0.0625940609379296,0.0552507661370444,0.051563151125043,0.00734329480088521,0.00368761501200147,0.0666666666666667
60,5,8,131,0.080523139516041,0.0637744427625253,0.062627574966254,0.0167486967535157,0.00114686779627125,0.133333333333333
60,5,8,132,0.0743903953040781,0.0615039914203228,0.0594907500663111,0.0128864038837552,0.00201324135401172,0.133333333333333
60,5,8,133,0.103677623065159,0.060708427007491,0.0522030603420601,0.042969196057668,0.00850536666543086,0
60,5,8,134,0.0848681132574724,0.0696300527569833,0.0566835031488541,0.015238060500489,0.0129465496081292,0
60,5,8,135,0.0684225581683705,0.0473815253157023,0.0381766800043851,0.0210410328526683,0.00920484531131713,0.266666666666667
60,5,8,136,0.0682055515244845,0.0510923603871021,0.0511080851005082,0.0171131911373824,-1.57247134060789e-05,0.133333333333333
60,5,8,137,0.0715560535688467,0.0401013543758148,0.0338316059061278,0.0314546991930319,0.00626974846968703,0.133333333333333
60,5,8,138,0.0785145512799241,0.0523252885581567,0.0484957452827543,0.0261892627217674,0.00382954327540232,0.0666666666666667
60,5,8,139,0.129438375311603,0.121003477567387,0.11221547897961,0.00843489774421614,0.0087879985877771,0.0666666666666667
60,5,8,140,0.0955464701998217,0.0636946486122358,0.0538561501534642,0.0318518215875859,0.00983849845877161,0.0666666666666667
60,5,8,141,0.103936927645215,0.0631653350161221,0.0455947795387298,0.0407715926290931,0.0175705554773923,0.133333333333333
60,5,8,142,0.0681520504290667,0.045706173966189,0.0399183240197095,0.0224458764628777,0.00578784994647949,0.2
60,5,8,143,0.127732257077861,0.0566693617621724,0.0538719995009158,0.0710628953156889,0.00279736226125669,0.2
60,5,8,144,0.103759822890662,0.082164673943493,0.0786279988375041,0.0215951489471694,0.0035366751059889,0.533333333333333
60,5,8,145,0.064409450211762,0.053116158291883,0.0490405926138703,0.011293291919879,0.0040755656780127,0.0666666666666667
60,5,8,146,0.151166123488876,0.105319462960139,0.102686807591537,0.0458466605287362,0.00263265536860213,0.133333333333333
60,5,8,147,0.0855356825426211,0.0575314920484254,0.0484168214049516,0.0280041904941957,0.00911467064347379,0.2
60,5,8,148,0.0988509027911112,0.0443169457626126,0.0379424691006091,0.0545339570284986,0.00637447666200346,0.266666666666667
60,5,8,149,0.0677208910477105,0.0620327935464944,0.0565327457299606,0.00568809750121618,0.00550004781653374,0.2
60,5,8,150,0.0770462254302503,0.078519321534887,0.0638247054166112,-0.00147309610463668,0.0146946161182758,0.133333333333333
80,5,10,1,0.0693129650584237,0.0462411265571516,0.0427595972315909,0.023071838501272,0.00348152932556073,0.1
80,5,10,2,0.0695178288867763,0.0420153844078898,0.0394277156169891,0.0275024444788864,0.00258766879090071,0.2
80,5,10,3,0.0977478469870787,0.0658652122282473,0.0581715651017666,0.0318826347588314,0.0076936471264807,0.05
80,5,10,4,0.0387194750945063,0.0271922932213858,0.0227484465722394,0.0115271818731205,0.00444384664914636,0.1
80,5,10,5,0.091620807714008,0.063888385693292,0.0605771639094344,0.027732422020716,0.00331122178385761,0
80,5,10,6,0.0773799312110917,0.0511929593656361,0.0483611217690444,0.0261869718454557,0.00283183759659161,0.05
80,5,10,7,0.0666700420978012,0.0413792897298143,0.0381024696634604,0.025290752367987,0.00327682006635384,0.1
80,5,10,8,0.0561047413965765,0.0424331354981429,0.0325061853035952,0.0136716058984336,0.00992695019454771,0.15
80,5,10,9,0.0600465797291902,0.046941304863066,0.0411288876025509,0.0131052748661241,0.00581241726051507,0.05
80,5,10,10,0.0691749957927271,0.0376043823234555,0.0315267213281887,0.0315706134692716,0.00607766099526677,0.05
80,5,10,11,0.0625502191267322,0.0564294695838675,0.0490490296870029,0.00612074954286472,0.00738043989686454,0.2
80,5,10,12,0.075272167810593,0.0614075011974274,0.0511486293906076,0.0138646666131656,0.0102588718068198,0.15
80,5,10,13,0.0921246905331043,0.0386176760893774,0.0384331115558395,0.0535070144437269,0.000184564533537934,0.05
80,5,10,14,0.0888763106764528,0.0833090430770136,0.0765224185632529,0.00556726759943914,0.00678662451376076,0.3
80,5,10,15,0.0682735299252037,0.0496340427158795,0.0464229779832877,0.0186394872093242,0.00321106473259182,0.1
80,5,10,16,0.0623754913775908,0.0526101001716484,0.0469901072672774,0.00976539120594234,0.00561999290437099,0.15
80,5,10,17,0.0653805058342,0.0314976188834427,0.0300549140305745,0.0338828869507573,0.00144270485286824,0.15
80,5,10,18,0.0632536909895323,0.0414622316385913,0.0356105912101243,0.021791459350941,0.00585164042846698,0.25
80,5,10,19,0.0708452975456975,0.0331753079364851,0.0262585908531107,0.0376699896092124,0.00691671708337437,0.05
80,5,10,20,0.0672261561623697,0.0558946410913132,0.0505548251105961,0.0113315150710565,0.00533981598071709,0
80,5,10,21,0.0579378014501049,0.042224777348073,0.039759819039992,0.0157130241020319,0.00246495830808097,0.15
80,5,10,22,0.0898428665869827,0.0775441567494202,0.0737765075868228,0.0122987098375625,0.00376764916259741,0.35
80,5,10,23,0.0600392710321528,0.0439315779403274,0.0369834013674775,0.0161076930918255,0.00694817657284986,0.2
80,5,10,24,0.0508522467019584,0.0448284270046578,0.0400513275646934,0.00602381969730059,0.00477709943996446,0.1
80,5,10,25,0.0537025111920873,0.0507904553275814,0.0442134424301101,0.00291205586450589,0.00657701289747124,0.3
80,5,10,26,0.0567716115293345,0.0333926008001719,0.0317974343873827,0.0233790107291625,0.00159516641278921,0.05
80,5,10,27,0.085815620198034,0.0330235745977181,0.0276996565988253,0.0527920456003159,0.00532391799889288,0
80,5,10,28,0.0932076955236638,0.0818303588930243,0.074052267536242,0.0113773366306396,0.00777809135678223,0.2
80,5,10,29,0.0519325642102484,0.0414405262785683,0.0354328966162376,0.0104920379316801,0.00600762966233064,0.05
80,5,10,30,0.101815195854089,0.0556868049301352,0.051308600951122,0.0461283909239537,0.00437820397901319,0.05
80,5,10,31,0.0641877758975099,0.0585252807763084,0.0475657822888,0.0056624951212015,0.0109594984875084,0.15
80,5,10,32,0.0592377562058935,0.0388904936458115,0.0360943397830558,0.020347262560082,0.00279615386275569,0.1
80,5,10,33,0.0822879284919176,0.0612245959610832,0.0510230437087348,0.0210633325308344,0.0102015522523484,0.05
80,5,10,34,0.0662413696369634,0.0477534275986085,0.0437188987403316,0.0184879420383549,0.00403452885827693,0.1
80,5,10,35,0.0653843657142842,0.0515777360846247,0.0473861650974432,0.0138066296296595,0.00419157098718145,0
80,5,10,36,0.0721698229637907,0.0523802110357434,0.0474062830832421,0.0197896119280473,0.00497392795250123,0.05
80,5,10,37,0.0553856493220346,0.0438019931283025,0.0418954857401517,0.011583656193732,0.0019065073881508,0
80,5,10,38,0.0519639068661258,0.0335243653470768,0.0278876109515353,0.0184395415190491,0.00563675439554153,0.25
80,5,10,39,0.0693770061303381,0.0451378250834713,0.0395901137042962,0.0242391810468668,0.00554771137917504,0.25
80,5,10,40,0.0693807041272015,0.0446384426249026,0.0397460769872327,0.0247422615022989,0.00489236563766985,0.15
80,5,10,41,0.0788340465661788,0.0428455044572128,0.0384469919916418,0.035988542108966,0.00439851246557096,0.15
80,5,10,42,0.0677954910025271,0.0653001023158824,0.0599157565944127,0.0024953886866447,0.00538434572146964,0
80,5,10,43,0.0426278547253275,0.0346413014539654,0.0293902086171982,0.00798655327136207,0.00525109283676719,0.05
80,5,10,44,0.062605403909011,0.0371346475197422,0.0343223054292308,0.0254707563892688,0.00281234209051139,0.1
80,5,10,45,0.0766382142599812,0.0527527262356734,0.0512804236578236,0.0238854880243078,0.0014723025778498,0.15
80,5,10,46,0.0745381027952168,0.0665159469652142,0.0599194098313716,0.00802215583000253,0.00659653713384266,0.2
80,5,10,47,0.07901564583738,0.0414221305376286,0.0353868497040401,0.0375935152997515,0.00603528083358846,0.2
